Genus,Species,Replicate,Amphistomy?,,,,,,,,
Lyonia,fruticosa,2,0,,,,,,,,
Lyonia ,lucida,1,0,,,,,,,,
Lyonia ,lucida,2,0,,,,,,,,
Lyonia ,lucida,3,0,,,,,,,,
Macroptilium,lathyroides,1,1,,,,,,,,
Macroptilium,lathyroides,2,1,,,,,,,,
Macroptilium,lathyroides,3,1,,,,,,,,
momurdica,charuntia,1,0,,,,,,,,
momurdica,charuntia,2,0,,,,,,,,
momurdica,charuntia,3,0,,,,,,,,
Morella,cerifera,1,0,,,,,,,,
Morella,cerifera,2,0,,,,,,,,
Morella,cerifera,3,0,,,,,,,,
myrica,cerifera,1,0,,,,,,,,
myrica,cerifera,2,0,,,,,,,,
Palifoxia,faeyi,1,1,,,,,,,,
Palifoxia,faeyi,2,1,,,,,,,,
Palifoxia,faeyi,3,1,,,,,,,,
pathenocissus,quinquefolia,1,0,,,,,,,,
pathenocissus,quinquefolia,2,0,,,,,,,,
pathenocissus,quinquefolia,3,0,,,,,,,,
Peltandra ,virginica,1,0,,,,,,,,
Peltandra ,virginica,2,0,,,,,,,,
Peltandra ,virginica,3,0,,,,,,,,
Persea,humilis,1,0,,,,,,,,
Persea,humilis,2,0,,,,,,,,
Persea,humilis,3,0,,,,,,,,
Persea,borbonia,1,0,,,,,,,,
Persea,borbonia,2,0,,,,,,,,
Persea,borbonia,3,0,,,,,,,,
philoblephis,rigida,1,1,,,,,,,,
phoradendron,leucarpum,1,1,,,,,,,,
phoradendron,leucarpum,2,1,,,,,,,,
phoradendron,leucarpum,3,1,,,,,,,,
physalis,sp,1,1,,,,,,,,
physalis,sp,2,1,,,,,,,,
physalis,sp,3,1,,,,,,,,
Pityopsis,graminifolia,1,1,,,,,,,,
Pityopsis,graminifolia,2,1,,,,,,,,
Pityopsis,graminifolia,3,1,,,,,,,,
pleopeltus,polypodioides,1,0,,,,,,,,
pleopeltus,polypodioides,2,0,,,,,,,,
pleopeltus,polypodioides,3,0,,,,,,,,
polansia,tenuifolia,1,1,,,,,,,,
polansia,tenuifolia,2,1,,,,,,,,
polansia,tenuifolia,3,1,,,,,,,,
Polygala,polyganum,1,1,,,,,,,,
Polygala,polyganum,2,1,,,,,,,,
Polygala,polyganum,3,1,,,,,,,,
polygala,nana,1,1,,,,,,,,
polygala,nana,2,1,,,,,,,,
polygala,nana,3,1,,,,,,,,
polygonum,nesomii,1,1,,,,,,,,
polygonum,nesomii,2,1,,,,,,,,
polygonum,nesomii,3,1,,,,,,,,
Pseudoziziphus,celata,1,0,,,,,,,,
pseudoziziphus,celata,2,0,,,,,,,,
pseudoziziphus,celata,3,0,,,,,,,,
pteridium,aquilinum,1,0,,,,,,,,
pteridium,aquilinum,2,0,,,,,,,,
pteridium,aquilinum,3,0,,,,,,,,
pteridium,caudatum,1,0,,,,,,,,
pteridium,caudatum,2,0,,,,,,,,
pterocaulon,pycnostadium,1,0,,,,,,,,
pterocaulon,pycnostadium,2,0,,,,,,,,
Quercus,geminata,1,0,,,,,,,,
Quercus,geminata,2,0,,,,,,,,
Quercus,geminata,3,0,,,,,,,,
Quercus,chapmanii,1,0,,,,,,,,
Quercus,chapmanii,2,0,,,,,,,,
Quercus,chapmanii,3,0,,,,,,,,
Quercus,inopina,1,0,,,,,,,,
Quercus,inopina,2,0,,,,,,,,
quercus,laevis,1,0,,,,,,,,
quercus,laevis,2,0,,,,,,,,
quercus,laevis,3,0,,,,,,,,
quercus,laurifolia,1,0,,,,,,,,
quercus,laurifolia,2,0,,,,,,,,
quercus,minima,2,0,,,,,,,,
quercus,minima,3,0,,,,,,,,
quercus,myrtifolia,1,0,,,,,,,,
quercus,myrtifolia,2,0,,,,,,,,
quercus,myrtifolia,3,0,,,,,,,,
Rhus ,copallinum,1,0,,,,,,,,
Rhus ,copallinum,2,0,,,,,,,,
Rhus ,copallinum,3,0,,,,,,,,
Rhynchosia ,cinerea,1,1,,,,,,,,
Rhynchosia ,cinerea,2,1,,,,,,,,
Rhynchospora,megalocarpa,1,0,,,,,,,,
Rhynchospora,megalocarpa,2,0,,,,,,,,
Rhynchospora,megalocarpa,3,0,,,,,,,,
richardia,grandiflora,1,1,,,,,,,,
richardia,grandiflora,2,1,,,,,,,,
richardia,grandiflora,3,1,,,,,,,,
Rubus,species,1,0,,,,,,,,
Rubus,species,2,0,,,,,,,,
Rubus,species,3,0,,,,,,,,
salvia,lyra,1,1,,,,,,,,
salvia,lyra,2,1,,,,,,,,
salvia,lyra,3,1,,,,,,,,
Schinus,teribithifolia,1,0,,,,,,,,
Schinus,teribithifolia,2,0,,,,,,,,
Seriocarpus,tortifolius,1,1,,,,,,,,
Seriocarpus,tortifolius,2,1,,,,,,,,
Seriocarpus,tortifolius,3,1,,,,,,,,
Sideroxylon,tenax,1,0,,,,,,,,
Sideroxylon,tenax,2,0,,,,,,,,
Sideroxylon,tenax,3,0,,,,,,,,
sisyrinchium,xerophyllum,1,1,,,,,,,,
sisyrinchium,xerophyllum,2,1,,,,,,,,
sisyrinchium,xerophyllum,3,1,,,,,,,,
Smilax,ariculata,1,0,,,,,,,,
Smilax,ariculata,2,0,,,,,,,,
Smilax,bonanox,1,0,,,,,,,,
Smilax,bonanox,2,0,,,,,,,,
Smilax,bonanox,3,0,,,,,,,,
Spermacoce,verticillata,1,1,,,,,,,,
Spermacoce,verticillata,2,1,,,,,,,,
Spermacoce,verticillata,3,1,,,,,,,,
Tephrosia,mysteriosa,1,1,,,,,,,,
Tephrosia,mysteriosa,2,1,,,,,,,,
Tephrosia,mysteriosa,3,1,,,,,,,,
Trichostema,bridgesii,1,1,,,,,,,,
Trichostema,bridgesii,2,1,,,,,,,,
Trichostema,bridgesii,3,1,,,,,,,,
Vaccinium ,myrsintes,1,0,,,,,,,,
Vaccinium ,myrsintes,2,0,,,,,,,,
Vaccinium ,myrsintes,3,0,,,,,,,,
Vaccinium ,darrowii,1,0,,,,,,,,
Vaccinium ,darrowii,2,0,,,,,,,,
Vaccinium ,darrowii,3,0,,,,,,,,
Vigna,luteola,1,1,,,,,,,,
Vigna,luteola,1,1,,,,,,,,
Vigna,luteola,1,1,,,,,,,,
Vitis,rotundifolia,1,0,,,,,,,,
Vitis,rotundifolia,2,0,,,,,,,,
Vitis,rotundifolia,3,0,,,,,,,,
woodwardia,virginica,1,0,,,,,,,,
woodwardia,virginica,2,0,,,,,,,,
woodwardia,virginica,3,0,,,,,,,,
Xymenia,americana,1,1,,,,,,,,
Xymenia,americana,1,1,,,,,,,,
Xymenia,americana,1,1,,,,,,,,
Yucca,aloifolia,1,1,,,,,,,,
Yucca,aloifolia,2,1,,,,,,,,
Yucca,aloifolia,3,1,,,,,,,,
Yucca,filamentosa,1,1,,,,,,,,
Yucca,filamentosa,2,1,,,,,,,,
Yucca,filamentosa,3,1,,,,,,,,
Zamia,integrifolia,1,0,,,,,,,,
Zamia,integrifolia,2,0,,,,,,,,
zamia,integrifolia,3,0,,,,,,,,
