Genus,species,amphistomy_presence,native,woody,R analog,leaf_angle,leaf_waxyness,leaf_pubescence,resprout vs seed,family
Polanisia,tenuifolia,1,2,0,polanisia_uniglandulosa,0,0,0,0,Cleomaceae
Polygala,polyganum,1,2,0,polygala_polygama,1,0,1,0,Polygalaceae
Polygala,nana,1,2,0,polygala_alba,0,1,0,0,Polygalaceae
Polygonum,nesomii,1,3,1,polygonum_scabrum,2,0,0,0,Polygonaceae
Pseudoziziphus,celata,0,3,2,ziziphus_jujuba,0,2,0,0,Rhamnaceae
Pteridium,aquilinum,0,2,0,pteridium_aquilinum,0,0,0,1,Dennstaedtiaceae
Pteridium,caudatum,0,2,0,pteridium_esculentum,1,0,0,0,Dennstaedtiaceae
Pterocaulon,pycnostadium,0,2,0,conyza_stricta,0,0,2,1,Asteraceae
Quercus,geminata,0,2,2,quercus_geminata,1,1,2,1,Fagaceae
Quercus,chapmanii,0,2,2,quercus_chapmanii,1,2,0,1,Fagaceae
Quercus,inopina,0,3,2,quercus_floribunda,1,1,1,1,Fagaceae
Quercus,laevis,0,2,2,quercus_laevis,0,2,0,1,Fagaceae
Quercus,laurifolia,0,2,2,quercus_glauca,0,2,0,0,Fagaceae
Quercus,minima,0,2,2,quercus_minima,1,2,1,1,Fagaceae
Quercus,myrtifolia,0,2,2,quercus_myrtifolia,1,2,0,1,Fagaceae
Rhus ,copallinum,0,2,2,rhus_aromatica,0,2,0,1,Anacardiaceae
Rhynchosia ,cinerea,1,3,0,rhynchosia_capensis,0,0,0,0,Fabaceae
Richardia,grandiflora,1,0,0,richeria_grandis,0,0,0,0,Rubiaceae
Rubus,trivialis,0,2,0,rubus_hoffmeisterianus,0,0,1,0,Rosaceae
Sabal,etonia,1,3,2,sabal_etonia,2,2,0,2,Arecaceae
Salvia,lyrata,1,2,0,salvia_lyrata,0,0,0,0,Lamiaceae
Schinus,terebinthifolia,0,0,2,schinus_terebinthifolius,0,2,0,0,Anacardiaceae
Serenoa,repens,1,2,2,serenoa_repens,2,2,0,2,Arecaceae
Sericocarpus ,tortifolius,1,2,0,solidago_speciosa,2,0,1,2,Asteraceae
Sideroxylon,tenax,0,2,2,sideroxylon_tenax,1,1,2,1,Sapotaceae
Sisyrinchium,xerophyllum,1,2,0,sisyrinchium_miamiense,2,1,0,1,Iridaceae
Smilax,auriculata,0,2,0,smilax_glauca,2,2,0,2,Smilacaceae
Smilax,bona-nox,0,2,0,smilax_bona,0,2,0,0,Smilacaceae
Spermacoce,verticillata,1,0,0,spermacoce_hispida,0,0,0,0,Rubiaceae
Stylisma,abdita,1,3,0,stylisma_patens,0,0,1,1,Convolvulaceae
Tephrosia,mysteriosa,1,3,0,tephrosia_heckmanniana,0,0,1,0,Fabaceae
Tradescantia,roseolens,1,2,0,tradescantia_pallida,1,1,0,1,Commelinaceae
Trichostema,bridgesii-orzellii,1,3,1,trichostema_dichotomum,1,0,0,2,Lamiaceae
Urena ,lobata,1,0,1,urena_lobata,0,0,3,0,Malvoideae
Vaccinium ,myrsinites,0,2,2,vaccinium_myrsinites,0,2,0,1,Ericaceae
Vaccinium ,darrowii,0,2,2,vaccinium_smallii,0,2,0,1,Ericaceae
Vigna,luteola,1,2,0,vigna_luteola,1,1,0,0,Fabaceae
Vitis,rotundifolia,0,2,2,vitis_rotundifolia,2,1,0,2,Vitaceae
Woodwardia,virginica,0,2,0,blechnum_occidentale,0,1,0,0,Blechnaceae
Ximenia,americana,1,2,2,ximenia_americana,2,2,0,2,Olacaceae
Yucca,aloifolia,1,2,2,yucca_aloifolia,1,2,0,0,Asparagaceae
Yucca,filamentosa,1,2,2,yucca_filamentosa,1,2,0,1,Asparagaceae
Zamia,integrifolia,0,3,2,zamia_integrifolia,1,2,0,0,Zamiaceae
