species,unit,individual,leaf.age,replicate,upper.count,lower.count,years.since.fire
serrep,60d,7,old,1,85,91,0.25
serrep,60d,7,old,2,74,84,0.25
serrep,60d,8,new,1,91,96,0.25
serrep,60d,8,new,2,74,88,0.25
serrep,60d,8,old,1,71,77,0.25
serrep,60d,8,old,2,78,73,0.25
serrep,60d,9,new,1,90,93,0.25
serrep,60d,9,new,2,90,96,0.25
serrep,60d,9,old,1,81,92,0.25
serrep,60d,9,old,2,71,82,0.25
serrep,60d,10,new,1,74,73,0.25
serrep,60d,10,new,2,71,80,0.25
serrep,60d,10,old,1,65,85,0.25
serrep,60d,10,old,2,72,82,0.25
serrep,60a,1,new,1,86,101,1
serrep,60a,1,new,2,94,93,1
serrep,60a,1,old,1,83,95,1
serrep,60a,1,old,2,86,100,1
serrep,60a,2,new,1,89,107,1
serrep,60a,2,new,2,79,81,1
serrep,60a,2,old,1,75,84,1
serrep,60a,2,old,2,76,83,1
serrep,60a,3,new,1,93,104,1
serrep,60a,3,new,2,96,95,1
serrep,60a,3,old,1,107,102,1
serrep,60a,3,old,2,105,123,1
serrep,60a,4,new,1,75,74,1
serrep,60a,4,new,2,92,84,1
serrep,60a,4,old,1,82,94,1
serrep,60a,4,old,2,72,84,1
serrep,60a,5,new,1,65,74,1
serrep,60a,5,new,2,73,65,1
serrep,60a,5,old,1,77,76,1
serrep,60a,5,old,2,78,81,1
serrep,60a,6,new,1,91,91,1
serrep,60a,6,new,2,94,93,1
serrep,60a,6,old,1,91,103,1
serrep,60a,6,old,2,88,76,1
serrep,60a,7,new,1,101,109,1
serrep,60a,7,new,2,96,94,1
serrep,60a,7,old,1,84,81,1
serrep,60a,7,old,2,84,84,1
serrep,60a,8,new,1,80,83,1
serrep,60a,8,new,2,76,77,1
serrep,60a,8,old,1,67,102,1
serrep,60a,8,old,2,62,79,1
serrep,60a,9,new,1,93,110,1
serrep,60a,9,new,2,95,110,1
serrep,60a,9,old,1,88,98,1
serrep,60a,9,old,2,93,106,1
serrep,60a,10,new,1,93,87,1
serrep,60a,10,new,2,95,98,1
serrep,60a,10,old,1,72,71,1
serrep,60a,10,old,2,78,76,1
serrep,56b,1,new,1,117,111,1
serrep,56b,1,new,2,98,103,1
serrep,56b,1,old,1,112,119,1
serrep,56b,1,old,2,104,98,1
serrep,56b,2,new,1,97,112,1
serrep,56b,2,new,2,105,95,1
serrep,56b,2,old,1,118,107,1
serrep,56b,2,old,2,99,114,1
serrep,56b,3,new,1,87,107,1
serrep,56b,3,new,2,57,101,1
serrep,56b,3,old,1,95,100,1
serrep,56b,3,old,2,85,90,1
serrep,56b,4,new,1,91,97,1
serrep,56b,4,new,2,97,95,1
serrep,56b,4,old,1,94,108,1
serrep,56b,4,old,2,102,123,1
serrep,56b,5,new,1,90,98,1
serrep,56b,5,new,2,91,84,1
serrep,56b,5,old,1,100,97,1
serrep,56b,5,old,2,99,72,1
serrep,56b,6,new,1,81,90,1
serrep,56b,6,new,2,88,103,1
serrep,56b,6,old,1,79,95,1
serrep,56b,6,old,2,105,111,1
serrep,56b,7,new,1,84,78,1
serrep,56b,7,new,2,82,100,1
serrep,56b,7,old,1,82,99,1
serrep,56b,7,old,2,93,97,1
serrep,56b,8,new,1,77,78,1
serrep,56b,8,new,2,93,88,1
serrep,56b,8,old,1,92,94,1
serrep,56b,8,old,2,100,103,1
serrep,56b,9,new,1,81,73,1
serrep,56b,9,new,2,69,94,1
serrep,56b,9,old,1,97,97,1
serrep,56b,9,old,2,97,100,1
serrep,56b,10,new,1,75,69,1
serrep,56b,10,new,2,73,79,1
serrep,56b,10,old,1,60,60,1
serrep,56b,10,old,2,65,62,1
serrep,56c,1,new,1,97,99,1
serrep,56c,1,new,2,94,94,30
serrep,56c,1,old,1,89,90,30
serrep,56c,1,old,2,77,94,30
serrep,56c,3,new,1,106,110,30
serrep,56c,3,new,2,109,109,30
serrep,56c,3,old,1,94,97,30
serrep,56c,3,old,2,95,100,30
serrep,56c,4,new,1,84,90,30
serrep,56c,4,new,2,90,89,30
serrep,56c,4,old,1,88,83,30
serrep,56c,4,old,2,89,88,30
serrep,56c,5,new,1,92,101,30
serrep,56c,5,new,2,99,95,30
serrep,56c,5,old,1,100,98,30
serrep,56c,5,old,2,92,96,30
serrep,56c,6,new,1,90,82,30
serrep,56c,6,new,2,106,111,30
serrep,56c,6,old,1,97,95,30
serrep,56c,6,old,2,111,102,30
serrep,56c,7,new,1,111,105,30
