Genus,Species,Replicate,Amphistomy?,upper approx.,lower approx.,notes,,,,,,,,
houstonia,procumbens,2,1,1,2,,,,,,,,,
houstonia,procumbens,3,1,1,2,,,,,,,,,
hypericum,edisonianum,1,0,0,3,"used ""edisoniamum""",,,,,,,,
hypericum,edisonianum,2,0,0,4,"used ""edisoniamum""",,,,,,,,
hypericum,edisonianum,3,0,0,3,"used ""edisoniamum""",,,,,,,,
Hypericum,tenuifolium,1,0,0,2,,,,,,,,,
ilex,arenicola,1,0,0,2,,,,,,,,,
ilex,arenicola,2,0,0,2,,,,,,,,,
ilex,arenicola,3,0,0,1,,,,,,,,,
ilex,glabra,1,0,0,3,,,,,,,,,
ilex,glabra,2,0,0,4,,,,,,,,,
ilex,glabra,3,0,0,3,,,,,,,,,
indigofera,caroliniana,1,1,4,2,,,,,,,,,
indigofera,caroliniana,2,1,3,2,,,,,,,,,
indigofera,spicata,1,1,4,3,,,,,,,,,
indigofera,spicata,2,1,3,3,,,,,,,,,
indigofera,spicata,3,1,3,3,,,,,,,,,
lantana,camara,1,0,0,1,,,,,,,,,
lantana,camara,2,0,0,1,,,,,,,,,
lantana,camara,3,0,0,1,,,,,,,,,
lecia,cernua,1,1,2,2,,,,,,,,,
lecia,cernua,2,1,1,1,,,,,,,,,
ludwigia,peruviana,1,0,0,2,,,,,,,,,
ludwigia,peruviana,2,0,0,2,,,,,,,,,
ludwigia,peruviana,3,0,0,3,,,,,,,,,
Lyonia,ferruginea,1,0,0,3,,,,,,,,,
Lyonia,ferruginea,2,0,0,3,,,,,,,,,
Lyonia,ferruginea,3,0,0,2,,,,,,,,,
Lyonia,fruticosa,1,0,0,4,,,,,,,,,
Lyonia,fruticosa,2,0,0,3,,,,,,,,,
Lyonia ,lucida,1,0,0,2,,,,,,,,,
Lyonia ,lucida,2,0,0,2,,,,,,,,,
Lyonia ,lucida,3,0,0,2,,,,,,,,,
Macroptilium,lathyroides,1,1,2,3,,,,,,,,,
Macroptilium,lathyroides,2,1,4,4,,,,,,,,,
Macroptilium,lathyroides,3,1,3,3,,,,,,,,,
momurdica,charuntia,1,0,0,3,,,,,,,,,
momurdica,charuntia,2,0,0,3,,,,,,,,,
momurdica,charuntia,3,0,0,4,,,,,,,,,
Morella,cerifera,1,0,0,2,,,,,,,,,
Morella,cerifera,2,0,0,2,,,,,,,,,
Morella,cerifera,3,0,0,3,,,,,,,,,
myrica,cerifera,1,0,0,3,may be same as morella,,,,,,,,
myrica,cerifera,2,0,0,3,,,,,,,,,
Palifoxia,faeyi,1,1,1,1,,,,,,,,,
Palifoxia,faeyi,2,1,1,1,,,,,,,,,
Palifoxia,faeyi,3,1,1,1,,,,,,,,,
pathenocissus,quinquefolia,1,0,0,2,,,,,,,,,
pathenocissus,quinquefolia,2,0,0,1,,,,,,,,,
pathenocissus,quinquefolia,3,0,0,1,,,,,,,,,
Peltandra ,virginica,1,0,0,1,,,,,,,,,
Peltandra ,virginica,2,0,0,1,,,,,,,,,
Peltandra ,virginica,3,0,0,1,,,,,,,,,
Persea,humilis,1,0,0,4,some ambiguous shapes,,,,,,,,
Persea,humilis,2,0,0,3,,,,,,,,,
Persea,humilis,3,0,0,,recheck lower,,,,,,,,
Persea,borbonia,1,0,0,4,,,,,,,,,
Persea,borbonia,2,0,0,4,,,,,,,,,
Persea,borbonia,3,0,0,4,,,,,,,,,
philoblephis,rigida,1,1,1,1,,,,,,,,,
phoradendron,leucarpum,1,1,1,1,,,,,,,,,
phoradendron,leucarpum,2,1,1,1,,,,,,,,,
phoradendron,leucarpum,3,1,1,1,,,,,,,,,
physalis,sp,1,1,2,3,,,,,,,,,
physalis,sp,2,1,2,3,,,,,,,,,
physalis,sp,3,1,1,3,,,,,,,,,
Pityopsis,graminifolia,1,1,2,2,,,,,,,,,
Pityopsis,graminifolia,2,1,2,2,,,,,,,,,
Pityopsis,graminifolia,3,1,2,2,,,,,,,,,
pleopeltus,polypodioides,1,0,0,1,,,,,,,,,
pleopeltus,polypodioides,2,0,0,1,,,,,,,,,
pleopeltus,polypodioides,3,0,0,1,,,,,,,,,
polansia,tenuifolia,1,1,1,2,,,,,,,,,
polansia,tenuifolia,2,1,1,2,,,,,,,,,
polansia,tenuifolia,3,1,1,2,,,,,,,,,
Polygala,polyganum,1,1,1,1,,,,,,,,,
Polygala,polyganum,2,1,1,1,,,,,,,,,
Polygala,polyganum,3,1,1,1,,,,,,,,,
polygala,nana,1,1,2,1,,,,,,,,,
polygala,nana,2,1,1,1,,,,,,,,,
polygala,nana,3,1,1,1,,,,,,,,,
polygonum,nesomii,1,1,1,1,,,,,,,,,
polygonum,nesomii,2,1,1,1,,,,,,,,,
polygonum,nesomii,3,1,1,2,,,,,,,,,
Pseudoziziphus,celata,1,0,0,1,,,,,,,,,
pseudoziziphus,celata,2,0,0,4,,,,,,,,,
pseudoziziphus,celata,3,0,0,4,,,,,,,,,
pteridium,aquilinum,1,0,0,2,,,,,,,,,
pteridium,aquilinum,2,0,0,2,,,,,,,,,
pteridium,aquilinum,3,0,0,2,,,,,,,,,
pteridium,caudatum,1,0,0,2,,,,,,,,,
pteridium,caudatum,2,0,0,2,,,,,,,,,
pterocaulon,pycnostadium,1,0,0,4,,,,,,,,,
pterocaulon,pycnostadium,2,0,0,5,,,,,,,,,
Quercus,geminata,1,0,0,2,,,,,,,,,
Quercus,geminata,2,0,0,3,,,,,,,,,
Quercus,geminata,3,0,0,3,,,,,,,,,
Quercus,chapmanii,1,0,0,4,,,,,,,,,
Quercus,chapmanii,2,0,0,4,,,,,,,,,
Quercus,chapmanii,3,0,0,4,,,,,,,,,
Quercus,inopina,1,0,0,2,,,,,,,,,
Quercus,inopina,2,0,0,3,,,,,,,,bald 63,10/31/23
quercus,laevis,1,0,0,4,used (1),,,,,,,bald 63,10/31/23
quercus,laevis,2,0,0,4,used (1),,,,,,,bald 63,10/31/23
quercus,laevis,3,0,0,4,used (1),,,,,,,,
quercus,laurifolia,1,0,0,5,,,,,,,,,
quercus,laurifolia,2,0,0,5,,,,,,,,,
quercus,minima,2,0,0,2,,,,,,,,,
